CASE;SERIAL;REF;QUESTNNR;MODE;STARTED;A101;A102;A104;A105;A106;A107;A107_09;A108;A109;A110;G101;G102;G103;G104;IL02_CP;IL02;C103;TIME001;TIME002;TIME003;TIME004;TIME005;TIME006;TIME_SUM;MAILSENT;LASTDATA;FINISHED;Q_VIEWER;LASTPAGE;MAXPAGE;MISSING;MISSREL;TIME_RSI;DEG_TIME
190;;;base;interview;07/04/2022 11:30;23;Female;India;Unemployed;Bachelor's Degree;South Asian;;Yes;Private;Student visa and residence permit;Somewhat agree;Completely agree;Somewhat disagree;Somewhat agree;30;Group 1;I agree;5;25;38;17;33;61;179;;07/04/2022 11:33;1;0;6;6;0;0;0.73;2
191;;;base;interview;07/04/2022 11:31;26;Female;United States;Unemployed;Bachelor's Degree;Two or More;;Yes;Private;Student visa and residence permit;Neither agree nor disagree;Somewhat agree;Somewhat agree;Somewhat agree;30;Control group;I agree;49;18;30;27;;39;117;;07/04/2022 11:33;1;0;6;6;0;0;0.63;0
192;;;base;interview;07/04/2022 11:32;27;Female;United States;Employed Full-time;Bachelor's Degree;Caucasian/White;;Yes;Private;Only residence permit;;;;;30;Group 2;I agree;2;24;25;22;6;;79;;07/04/2022 11:33;0;0;5;5;0;0;1.38;42
193;;;base;interview;07/04/2022 11:33;24;Male;Germany;Employed Part-time;Bachelor's Degree;Caucasian/White;;Yes;Private;None of the above;Neither agree nor disagree;Somewhat disagree;Neither agree nor disagree;Somewhat agree;31;Group 1;I agree;2;21;19;14;38;20;114;;07/04/2022 11:35;1;0;6;6;0;0;1.23;19
195;;;base;interview;07/04/2022 11:34;24;Female;Germany;Employed Full-time;Bachelor's Degree;Caucasian/White;;Yes;Private;None of the above;Completely agree;Somewhat agree;Completely disagree;Completely disagree;31;Group 2;I agree;3;18;19;13;23;25;101;;07/04/2022 11:36;1;0;6;6;0;0;1.2;14
196;;;base;interview;07/04/2022 11:35;24;Female;Italy;Employed Part-time;Bachelor's Degree;Caucasian/White;;Yes;Private;None of the above;Somewhat agree;Somewhat agree;Somewhat disagree;Somewhat agree;31;Control group;I agree;2;4;22;17;;36;81;;07/04/2022 11:36;1;0;6;6;0;0;1.45;22
197;;;base;interview;07/04/2022 11:47;25;Female;Germany;Employed Part-time;Bachelor's Degree;Caucasian/White;;Yes;Private;None of the above;Somewhat agree;Completely agree;Somewhat disagree;Somewhat disagree;32;Group 1;I agree;2;5;26;20;30;59;142;;07/04/2022 11:49;1;0;6;6;0;0;1.16;12
198;;;base;interview;07/04/2022 11:52;26;Female;Brazil;Unemployed;Bachelor's Degree;Caucasian/White;;Yes;Private;Only residence permit;Completely agree;Completely agree;Completely agree;Somewhat disagree;32;Control group;I agree;2;23;23;14;;38;100;;07/04/2022 11:54;1;0;6;6;0;0;1.11;12
200;;;base;interview;07/04/2022 11:55;26;Male;Germany;Employed Full-time;Bachelor's Degree;Caucasian/White;;No;I am currently not studying in Germany;None of the above;Somewhat agree;Somewhat agree;Completely disagree;Somewhat agree;32;Group 2;I agree;3;8;22;43;52;35;163;;07/04/2022 11:58;1;0;6;6;0;0;0.9;3
201;;;base;interview;07/04/2022 11:56;29;Male;Croatia;Employed Part-time;Bachelor's Degree;Caucasian/White;;Yes;Private;None of the above;Somewhat agree;Neither agree nor disagree;Somewhat disagree;Somewhat disagree;33;Group 1;I agree;2;6;23;18;33;41;123;;07/04/2022 11:59;1;0;6;6;0;0;1.18;11
202;;;base;interview;07/04/2022 12:18;30;Male;United States;Employed Part-time;Bachelor's Degree;Caucasian/White;;Yes;Private;Student visa and residence permit;Somewhat disagree;Completely agree;Somewhat agree;Somewhat agree;33;Group 2;I agree;23;13;29;33;4;41;123;;07/04/2022 12:21;1;0;6;6;0;0;1.04;50
203;;;base;interview;07/04/2022 12:28;28;Female;Bulgaria;Employed Part-time;Bachelor's Degree;Caucasian/White;;Yes;Private;None of the above;Neither agree nor disagree;Completely agree;Somewhat disagree;Somewhat agree;33;Control group;I agree;3;23;33;18;;55;132;;07/04/2022 12:30;1;0;6;6;0;0;0.81;2
204;;;base;interview;07/04/2022 12:33;31;Female;Bosnia and Herzegovina;Employed Part-time;Master's Degree;Caucasian/White;;Yes;Private;Student visa and residence permit;Neither agree nor disagree;Completely agree;Neither agree nor disagree;Somewhat agree;34;Group 2;I agree;16;12;42;34;61;48;200;;07/04/2022 12:37;1;0;6;6;0;0;0.57;0
205;;;base;interview;07/04/2022 12:49;25;Male;France;Unemployed;Master's Degree;Caucasian/White;;Yes;Private;None of the above;Neither agree nor disagree;Completely agree;Completely disagree;Neither agree nor disagree;34;Control group;I agree;4;8;27;27;;59;125;;07/04/2022 12:51;1;0;6;6;0;0;0.85;1
206;;;base;interview;07/04/2022 13:33;27;Female;Germany;Employed Full-time;Bachelor's Degree;Caucasian/White;;Yes;Private;None of the above;Completely agree;Completely agree;Neither agree nor disagree;Somewhat agree;34;Group 1;I agree;4;17;44;25;32;49;171;;07/04/2022 13:36;1;0;6;6;0;0;0.73;0
207;;;base;interview;07/04/2022 13:39;Not answered;Not answered;Not answered;Not answered;;Not answered;;;;;;;;;;;I agree;1;5;5;;;;11;;07/04/2022 13:39;0;0;3;3;83;83;2.6;117
208;;;base;interview;07/04/2022 14:08;36;Male;India;Unemployed;Bachelor's Degree;South Asian;;Yes;Private;Student visa and residence permit;Somewhat agree;Somewhat agree;Completely agree;Completely agree;35;Control group;I agree;32;27;33;27;;55;145;;07/04/2022 14:11;1;0;6;6;0;0;0.54;0
210;;;base;interview;07/04/2022 14:22;18;Non-binary;Algeria;Employed Full-time;;South Asian;;;;;;;;;;;I agree;2;3;10;;;;15;;07/04/2022 14:22;0;0;3;3;0;0;2.37;68
211;;;base;interview;07/04/2022 14:25;31;Female;Colombia;Employed Full-time;Master's Degree;Latino or Hispanic;;Yes;Private;Only residence permit;Neither agree nor disagree;Completely agree;Somewhat agree;Completely disagree;35;Group 1;I agree;2;27;21;20;3;70;143;;07/04/2022 14:27;1;0;6;6;0;0;1.28;76
213;;;base;interview;07/04/2022 17:11;23;Prefer not to say;Indonesia;Employed Part-time;Bachelor's Degree;Other:;Southeast Asian;Yes;Private;Student visa and residence permit;;;;;35;Group 2;I agree;13;16;52;14;2;6;103;;07/04/2022 17:13;0;0;6;6;0;0;1.48;130
214;;;base;interview;07/04/2022 17:13;23;Prefer not to say;Indonesia;Employed Part-time;Bachelor's Degree;Other:;Southeast Asian and East Asian (You forgot the former);Yes;Private;Student visa and residence permit;Neither agree nor disagree;Completely agree;Neither agree nor disagree;Somewhat agree;36;Control group;I agree;2;2;45;6;;55;110;;07/04/2022 17:15;1;0;6;6;0;0;1.75;67
215;;;base;interview;08/04/2022 08:55;30;Female;United States;Employed Part-time;Master's Degree;Caucasian/White;;Yes;Private;Student visa and residence permit;Somewhat agree;Somewhat agree;Somewhat agree;Somewhat agree;36;Group 1;I agree;8;4;30;20;38;25;125;;08/04/2022 08:57;1;0;6;6;0;0;1.13;15
217;;;base;interview;08/04/2022 13:24;22;Female;Netherlands;Employed Part-time;Bachelor's Degree;Caucasian/White;;Yes;Private;None of the above;Somewhat agree;Somewhat agree;Somewhat agree;Neither agree nor disagree;36;Group 2;I agree;10;6;28;37;86;22;189;;08/04/2022 13:27;1;0;6;6;0;0;0.88;9
218;;;base;interview;08/04/2022 13:25;24;Female;Germany;Employed Part-time;Bachelor's Degree;Caucasian/White;;Yes;Private;None of the above;Somewhat agree;Completely agree;Completely disagree;Somewhat agree;37;Group 2;I agree;10;12;47;23;13;94;199;;08/04/2022 13:28;1;0;6;6;0;0;0.85;10
219;;;base;interview;08/04/2022 17:14;22;Female;Switzerland;Unemployed;High school;Caucasian/White;;Yes;Private;None of the above;Somewhat agree;Completely agree;Somewhat disagree;Neither agree nor disagree;37;Control group;I agree;34;39;39;21;;51;123;;08/04/2022 17:17;1;0;6;6;0;0;0.55;0
220;;;base;interview;08/04/2022 17:37;22;Male;Germany;Unemployed;High school;Caucasian/White;;Yes;Private;None of the above;Neither agree nor disagree;Somewhat agree;Completely disagree;Completely disagree;37;Group 1;I agree;1;13;18;21;18;29;100;;08/04/2022 17:38;1;0;6;6;0;0;1.5;27
221;;;base;interview;08/04/2022 17:47;23;Female;Germany;Employed Part-time;High school;Caucasian/White;;Yes;Private;None of the above;Somewhat agree;Somewhat agree;Somewhat disagree;Neither agree nor disagree;38;Group 2;I agree;8;15;25;20;79;548;183;;08/04/2022 17:59;1;0;6;6;0;0;0.59;1
223;;;base;interview;08/04/2022 18:57;20;Female;United Kingdom;Unemployed;High school;Caucasian/White;;Yes;Private;Student visa and residence permit;Somewhat agree;Completely agree;Neither agree nor disagree;Neither agree nor disagree;38;Group 1;I agree;2;4;18;17;29;25;95;;08/04/2022 18:58;1;0;6;6;0;0;1.48;24
224;;;base;interview;08/04/2022 20:59;19;Male;Spain;Unemployed;High school;Caucasian/White;;Yes;Private;None of the above;Somewhat agree;Somewhat agree;Somewhat disagree;Somewhat disagree;38;Control group;I agree;4;6;33;27;;39;109;;08/04/2022 21:01;1;0;6;6;0;0;0.96;5
226;;;base;interview;11/04/2022 17:00;33;Male;Colombia;Unemployed;Bachelor's Degree;Prefer not to say;;Yes;Private;Student visa and residence permit;;;;;39;Control group;I agree;2;7;20;31;;;60;;11/04/2022 17:01;0;0;4;4;0;0;1.2;14
228;;;base;interview;11/04/2022 20:55;27;Female;Egypt;Employed Full-time;Bachelor's Degree;Caucasian/White;;No;Private;Student visa and residence permit;Somewhat agree;Completely agree;Completely agree;Completely agree;39;Group 1;I agree;1;9;27;23;22;32;114;;11/04/2022 20:56;1;0;6;6;0;0;1.39;20
232;;;base;interview;11/04/2022 21:06;25;Female;Italy;Unemployed;Bachelor's Degree;Caucasian/White;;Yes;Public;None of the above;Neither agree nor disagree;Somewhat agree;Somewhat disagree;Somewhat disagree;39;Group 2;I agree;23;15;46;25;8;42;139;;11/04/2022 21:09;1;0;6;6;0;0;1.01;21
233;;;base;interview;11/04/2022 21:23;24;Female;Ukraine;Unemployed;Bachelor's Degree;Caucasian/White;;Yes;Public;Student visa and residence permit;Neither agree nor disagree;Neither agree nor disagree;Completely disagree;Completely disagree;40;Group 2;I agree;2;29;36;69;20;27;136;;11/04/2022 21:26;1;0;6;6;0;0;0.93;10
234;;;base;interview;11/04/2022 21:24;27;Female;Turkey;Employed Full-time;Master's Degree;Caucasian/White;;Yes;Public;Student visa and residence permit;Neither agree nor disagree;Somewhat agree;Completely agree;Completely agree;40;Group 1;I agree;4;7;35;19;63;37;165;;11/04/2022 21:26;1;0;6;6;0;0;0.89;4
235;;;base;interview;11/04/2022 22:25;26;Non-binary;Azerbaijan;Unemployed;Bachelor's Degree;Caucasian/White;;Yes;Public;Student visa and residence permit;Neither agree nor disagree;Completely agree;Somewhat agree;Somewhat agree;40;Control group;I agree;3;5;23;17;;35;83;;11/04/2022 22:26;1;0;6;6;0;0;1.25;13
237;;;base;interview;12/04/2022 20:40;24;Male;Malaysia;Employed Part-time;Bachelor's Degree;East Asian;;Yes;Private;Student visa and residence permit;Neither agree nor disagree;Completely agree;Somewhat agree;Somewhat agree;41;Group 1;I agree;1;12;18;12;18;19;80;;12/04/2022 20:42;1;0;6;6;0;0;1.75;39
238;;;base;interview;12/04/2022 22:05;26;Female;Peru;Unemployed;Bachelor's Degree;Latino or Hispanic;;Yes;Public;Student visa and residence permit;Somewhat disagree;Completely agree;Neither agree nor disagree;Completely agree;41;Group 2;I agree;4;3;27;16;53;95;198;;12/04/2022 22:09;1;0;6;6;0;0;1.17;20
239;;;base;interview;13/04/2022 14:55;;;;;;;;;;;;;;;;;I agree;7;5;11030;;;;38;;13/04/2022 17:59;0;0;3;3;0;0;0.74;13
240;;;base;interview;13/04/2022 15:44;26;Male;United States;Employed Part-time;Bachelor's Degree;Two or More;;Yes;Private;Only residence permit;Somewhat agree;Completely agree;Neither agree nor disagree;Somewhat agree;41;Control group;I agree;6;20;17;21;;32;96;;13/04/2022 15:45;1;0;6;6;0;0;0.93;7
241;;;base;interview;13/04/2022 15:45;Not answered;Male;Not answered;Unemployed;;East Asian;;;;;;;;;;;I agree;3;3;24;;;;30;;13/04/2022 15:46;0;0;3;3;33;33;1.69;35
242;;;base;interview;13/04/2022 15:47;24;Male;Germany;Unemployed;Bachelor's Degree;Caucasian/White;;Yes;Private;None of the above;Neither agree nor disagree;Somewhat agree;Neither agree nor disagree;Somewhat disagree;42;Group 2;I agree;1;8;70;27;49;47;158;;13/04/2022 15:50;1;0;6;6;0;0;1.11;18
243;;;base;interview;13/04/2022 15:47;26;Male;Germany;Employed Part-time;Master's Degree;Caucasian/White;;Yes;Private;None of the above;Neither agree nor disagree;Completely agree;Somewhat disagree;Neither agree nor disagree;42;Group 1;I agree;9;6;23;15;13;26;92;;13/04/2022 15:49;1;0;6;6;0;0;1.33;22
245;;;base;interview;13/04/2022 15:50;22;Female;France;Unemployed;Bachelor's Degree;Caucasian/White;;Yes;Private;None of the above;Neither agree nor disagree;Completely agree;Somewhat disagree;Somewhat disagree;42;Control group;I agree;4;43;24;19;;29;85;;13/04/2022 15:52;1;0;6;6;0;0;0.89;5
246;;;base;interview;13/04/2022 15:56;23;Female;Italy;Unemployed;Bachelor's Degree;Caucasian/White;;Yes;Private;None of the above;Completely agree;Completely agree;Completely disagree;Neither agree nor disagree;43;Group 2;I agree;11;8;18;13;33;33;116;;13/04/2022 15:58;1;0;6;6;0;0;1.08;11
247;;;base;interview;13/04/2022 15:59;26;Female;India;Employed Part-time;Master's Degree;South Asian;;Yes;Private;Student visa and residence permit;Somewhat agree;Somewhat agree;Somewhat agree;Somewhat agree;43;Control group;I agree;2;8;32;23;;30;95;;13/04/2022 16:00;1;0;6;6;0;0;1.12;8
249;;;base;interview;13/04/2022 16:05;24;Male;Ecuador;Employed Part-time;Bachelor's Degree;Latino or Hispanic;;Yes;Private;Student visa and residence permit;Somewhat agree;Neither agree nor disagree;Somewhat disagree;Somewhat agree;43;Group 1;I agree;6;10;28;13;30;27;114;;13/04/2022 16:07;1;0;6;6;0;0;1.05;9
251;;;base;interview;13/04/2022 16:22;22;Female;India;Employed Part-time;Bachelor's Degree;South Asian;;Yes;Private;Only residence permit;Somewhat agree;Completely agree;Somewhat disagree;Somewhat agree;44;Group 1;I agree;2;3;22;21;6;45;99;;13/04/2022 16:24;1;0;6;6;0;0;1.75;53
252;;;base;interview;13/04/2022 16:22;23;Female;Chile;Employed Part-time;Master's Degree;Latino or Hispanic;;Yes;Private;Student visa and residence permit;Somewhat agree;Completely agree;Somewhat agree;Somewhat agree;44;Control group;I agree;13;4;21;20;;36;94;;13/04/2022 16:24;1;0;6;6;0;0;1.16;16
253;;;base;interview;13/04/2022 16:30;23;Female;India;Employed Part-time;Bachelor's Degree;South Asian;;Yes;Private;Student visa and residence permit;Somewhat agree;Somewhat agree;Somewhat disagree;Somewhat agree;44;Group 2;I agree;15;9;20;13;27;25;97;;13/04/2022 16:32;1;0;6;6;0;0;1.11;12
254;;;base;interview;13/04/2022 16:34;23;Non-binary;United States;Unemployed;Bachelor's Degree;Black or African-American;;Yes;Private;Only residence permit;Completely agree;Somewhat agree;Neither agree nor disagree;Somewhat agree;45;Group 2;I agree;6;7;20;19;4;23;79;;13/04/2022 16:35;1;0;6;6;0;0;1.47;61
255;;;base;interview;13/04/2022 16:35;25;Female;United States;Employed Part-time;Master's Degree;Black or African-American;;Yes;Private;Student visa and residence permit;;;;;45;Control group;I agree;2;3;28;13;;;46;;13/04/2022 16:36;0;0;4;4;0;0;1.78;40
256;;;base;interview;13/04/2022 16:41;19;Non-binary;Algeria;Employed Full-time;Master's Degree;Native American;;Yes;Private;Student visa and residence permit;;;;;45;Group 1;I agree;3;3;25;15;10;;56;;13/04/2022 16:42;0;0;5;5;0;0;1.86;43
257;;;base;interview;13/04/2022 16:42;27;Prefer not to say;China;Employed Full-time;Bachelor's Degree;East Asian;;Yes;Private;Student visa and residence permit;Neither agree nor disagree;Somewhat agree;Somewhat disagree;Somewhat disagree;46;Group 2;I agree;4;5;39;32;28;47;155;;13/04/2022 16:44;1;0;6;6;0;0;0.95;7
258;;;base;interview;13/04/2022 16:45;25;Female;United States;Employed Part-time;Master's Degree;Two or More;;Yes;Private;None of the above;Completely agree;Completely agree;Completely agree;Completely agree;46;Group 1;I agree;79;13;19;18;8;22;83;;13/04/2022 16:48;1;0;6;6;0;0;1.33;31
261;;;base;interview;13/04/2022 16:59;37;Female;India;Unemployed;Bachelor's Degree;South Asian;;Yes;Private;Student visa and residence permit;Somewhat agree;Somewhat agree;Completely agree;Completely agree;46;Control group;I agree;17;8;24;17;;25;77;;13/04/2022 17:01;1;0;6;6;0;0;1.02;9
263;;;base;interview;13/04/2022 18:09;30;Male;Mexico;Unemployed;Bachelor's Degree;Latino or Hispanic;;Yes;Private;Student visa and residence permit;Somewhat agree;Neither agree nor disagree;Somewhat agree;Completely agree;47;Group 1;I agree;4;16;37;24;69;29;179;;13/04/2022 18:12;1;0;6;6;0;0;0.76;2
264;;;base;interview;13/04/2022 19:41;40;Male;Mexico;Employed Part-time;Bachelor's Degree;Prefer not to say;;Yes;Private;Student visa and residence permit;Neither agree nor disagree;Neither agree nor disagree;Completely agree;Completely agree;47;Control group;I agree;2;4;28;25;;28;87;;13/04/2022 19:43;1;0;6;6;0;0;1.37;20

